id	type	address	number	postal_code	municipality	province	location	public	available	hours	latitude	longitude
8474	NA	Avenue maurice Destenay  13 4000 Liège	13	4000	Liège	Liège	NA	Y	NA	NA	50.6380051	5.56917584357464
8475	NA	Avenue maurice Destenay  13 4000 Liège	13	4000	Liège	Liège	NA	Y	NA	NA	50.6380051	5.56917584357464
15099	Appareil fixe-Vast apparaat	Avenue Maxime Buset   7100 La Louvière	NA	7100	La Louvière	Hainaut	Entrée principale à droite 	Oui-Ja	Non-Nee	NA	50.47745967	4.20478643
10085	NA	Avenue Melina Mercouri  7000 Mons	NA	7000	Mons	Hainaut	NA	NA	NA	NA	50.4521381	3.9371882
11171	NA	Avenue Melina Mercouri 2 7000 Mons	2	7000	Mons	Hainaut	NA	Y	NA	NA	50.450844	3.93675631087248
11172	NA	Avenue Melina Mercouri 2 7000 Mons	2	7000	Mons	Hainaut	NA	Y	NA	NA	50.450844	3.93675631087248
11174	NA	Avenue Melina Mercouri 2 7000 Mons	2	7000	Mons	Hainaut	NA	Y	NA	NA	50.450844	3.93675631087248
11175	NA	Avenue Melina Mercouri 2 7000 Mons	2	7000	Mons	Hainaut	NA	Y	NA	NA	50.450844	3.93675631087248
15914	Appareil fixe-Vast apparaat	Avenue Mélina Mercouri 7 7000 Mons	7	7000	Mons	Hainaut	Dans le lobby de l hôtel, à côté de l hydrant. 	Oui-Ja	Oui-Ja	NA	50.45618435	3.94055676002563
2072	NA	Avenue Mercury - ZI de Petit Rechain  4800 Petit-Rechain	NA	4800	Petit-Rechain	Liège	 ouvriers	NA	NA	NA	50.62441	5.8419398
3209	NA	Avenue Minjean  60 7500 Tournai	60	7500	Tournai	Hainaut	hall d entrée	NA	NA	NA	50.6076513	3.3681501
1984	NA	Avenue Mon Bijou 10 4960 Malmédy	10	4960	Malmédy	Liège	près de l accueil	NA	NA	NA	50.14921349	4.81959194
8761	NA	Avenue Monnet  2 6041 Gosselies	2	6041	Gosselies	Hainaut	NA	Y	NA	NA	50.6151182	4.33565187
240	NA	Avenue Montesquieu 6 4101 Jemeppe-sur-Meuse	6	4101	Jemeppe-sur-Meuse	Liège	NA	NA	NA	NA	50.6200011	5.51615631258023
8693	NA	Avenue Mounier  51 1348 Louvain-la-Neuve	51	1348	Louvain-la-Neuve	Brabant Wallon	NA	Y	NA	NA	50.67576008	4.62160891
4409	NA	Avenue Mounier  83 1200 Bruxelles	83	1200	Bruxelles	Bruxelles-Brussel	bureaux,1 ° étage,couloir	NA	NA	NA	50.85099835	4.45601415178377
4977	NA	Avenue Mounier 100 1200 Bruxelles	100	1200	Bruxelles	Bruxelles-Brussel	accueil	NA	NA	NA	50.84956755	4.4606658948543
1688	NA	Avenue Mounier 51 1200 Bruxelles	51	1200	Bruxelles	Bruxelles-Brussel	NA	NA	NA	NA	50.85099545	4.4542155919839
